==== Log started at [14/11/25 03:09:57] ====
[14/11/25 03:09:57] PartRequestManager initialized.
[14/11/25 03:09:57] PartRequestManager thread started. Polling file every 5000ms.
[14/11/25 03:10:08] GUI added new request: PartRequest[requestID=Task-1, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=5, status=PENDING]
[14/11/25 03:10:36] GUI added new request: PartRequest[requestID=Task-12, part=Part[partID=P1005, name=Brake Disc, description=Vented front brake disc], neededQuantity=1, status=PENDING]
[14/11/25 03:10:37] GUI added new request: PartRequest[requestID=Task-13, part=Part[partID=P1005, name=Brake Disc, description=Vented front brake disc], neededQuantity=1, status=PENDING]
[14/11/25 03:10:39] GUI added new request: PartRequest[requestID=Task-14, part=Part[partID=P1005, name=Brake Disc, description=Vented front brake disc], neededQuantity=1, status=PENDING]
[14/11/25 03:10:49] GUI added new request: PartRequest[requestID=Task-15, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:10:51] GUI added new request: PartRequest[requestID=Task-16, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:10:53] GUI added new request: PartRequest[requestID=Task-17, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:10:54] GUI added new request: PartRequest[requestID=Task-18, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:10:56] GUI added new request: PartRequest[requestID=Task-19, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:10:57] GUI added new request: PartRequest[requestID=Task-20, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:10:58] GUI added new request: PartRequest[requestID=Task-21, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:00] GUI added new request: PartRequest[requestID=Task-22, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:02] GUI added new request: PartRequest[requestID=Task-23, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:03] GUI added new request: PartRequest[requestID=Task-24, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:05] GUI added new request: PartRequest[requestID=Task-25, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:07] GUI added new request: PartRequest[requestID=Task-26, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:08] GUI added new request: PartRequest[requestID=Task-27, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:09] GUI added new request: PartRequest[requestID=Task-28, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:11] GUI added new request: PartRequest[requestID=Task-29, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:18] GUI added new request: PartRequest[requestID=Task-30, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:21] GUI added new request: PartRequest[requestID=Task-31, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:11:32] GUI added new request: PartRequest[requestID=Task-32, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:12:32] GUI added new request: PartRequest[requestID=Task-33, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 03:12:35] GUI added new request: PartRequest[requestID=Task-34, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
